scene,latlng,latlng_cn
scene-000916,1638242260.000.json,"113.93853417240,22.73941076929","113.94341806176713,22.73642443731244"
scene-000917,1638242290.000.json,"113.93770891204,22.73825398623","113.94259189830046,22.73526598946931"
scene-000918,1638242330.000.json,"113.93921766606,22.73740755702","113.94410213740146,22.734421744958272"
scene-000919,1638242420.000.json,"113.94336293632,22.73581127692","113.9482520410542,22.732832158944554"
scene-000920,1638242440.000.json,"113.94321443116,22.73497748166","113.94810330051193,22.731997849942992"
scene-000921,1638242510.000.json,"113.94321417876,22.73497701880","113.94810304777347,22.731997386491443"
scene-000922,1638242560.000.json,"113.94073274478,22.73139919287","113.94561847868061,22.728414158515797"
scene-000923,1638242640.000.json,"113.93191189991,22.72870568078","113.93678931078796,22.725706418565462"
scene-000924,1638242750.000.json,"113.92488560889,22.72797683196","113.9297590272922,22.72496902788267"
scene-000925,1638242850.000.json,"113.92256755635,22.72711515004","113.92744012938321,22.72410482824029"
scene-000926,1638242880.000.json,"113.92300752717,22.72452213509","113.92788006570375,22.721511487605117"
scene-000927,1638242900.000.json,"113.92325215995,22.72306984284","113.9281246826377,22.72005901794462"
scene-000928,1638242980.000.json,"113.92385222273,22.71909992261","113.9287246927514,22.71608856944975"
scene-000929,1638243020.000.json,"113.92363170999,22.71692652328","113.92850396651284,22.713914352196664"
scene-000930,1638243040.000.json,"113.92348693899,22.71635242133","113.92835911080881,22.71333995135064"
scene-000931,1638243060.000.json,"113.92325858235,22.71519529666","113.92813060660963,22.71218228884128"
scene-000932,1638243080.000.json,"113.92310565236,22.71360704186","113.9279775275125,22.71059345405856"
scene-000933,1638243340.000.json,"113.92525765220,22.69736727040","113.93012927614598,22.694351548621867"
scene-000934,1638243380.000.json,"113.92523633644,22.69626237068","113.93010788140474,22.69324634509939"
scene-000935,1638243510.000.json,"113.92952772991,22.69322190773","113.9344012875831,22.690210013019513"
scene-000936,1638243770.000.json,"113.93812701177,22.68800328597","113.94300721714457,22.68500230609912"
scene-000937,1638243820.000.json,"113.93977972626,22.68649608958","113.94466155639901,22.68349744244588"
scene-000938,1638243920.000.json,"113.94610100659,22.68614004366","113.95099047145952,22.6831526474758"
scene-000939,1638244310.000.json,"113.95931010777,22.68796122611","113.96422076359178,22.685002708212938"
scene-000940,1638244330.000.json,"113.95916981565,22.68818178005","113.96408022891002,22.685222983620385"
scene-000941,1638244350.000.json,"113.95926245380,22.68794138441","113.96417302110984,22.6849827485884"
scene-000942,1638244370.000.json,"113.95927916564,22.68788928601","113.96418976021336,22.684930677056514"
scene-000943,1638244400.000.json,"113.95936662727,22.68722327166","113.96427733957813,22.684264707284637"
scene-000944,1638244440.000.json,"113.95936698758,22.68722342191","113.96427770055833,22.684264858427095"
scene-000945,1638244800.000.json,"113.97993469010,22.67389432812","113.98488821668398,22.670987022233454"
scene-000946,1638244840.000.json,"113.98255604809,22.66925616285","113.98751551946512,22.666355372905024"
scene-000947,1638244880.000.json,"113.98440290205,22.66406718062","113.98936650230473,22.661170634041262"
scene-000948,1638244920.000.json,"113.98874557937,22.66047190532","113.99371961470236,22.65758742458833"
scene-000949,1638244980.000.json,"113.99359367524,22.65406684071","113.99857942402569,22.651195554255487"
scene-000950,1638245060.000.json,"113.99893519117,22.64476133620","114.00393384963677,22.64190433981892"
scene-000951,1638245160.000.json,"114.00323701511,22.63303838092","114.00824582157907,22.630192210944163"
scene-000952,1638245200.000.json,"114.00614679757,22.62902196350","114.01116269296247,22.626183870221343"
scene-000953,1638245240.000.json,"114.00822288416,22.62492971020","114.01324373049398,22.622097153803818"
scene-000954,1638245280.000.json,"114.00829466548,22.61979004921","114.0133153599559,22.61695683891525"
scene-000955,1638245340.000.json,"114.00853022803,22.61258141788","114.0135510471285,22.609747750074902"
scene-000956,1638245390.000.json,"114.01099996279,22.60662991337","114.01602655206827,22.60380272464382"
scene-000957,1638245430.000.json,"114.01119714578,22.60267725436","114.01622396888716,22.599850071263546"
scene-000958,1638245470.000.json,"114.00864023729,22.60462134416","114.01366081820487,22.601786794787362"
scene-000959,1638245500.000.json,"114.00956009654,22.60516778234","114.01458301011881,22.60233607199296"
scene-000960,1638245580.000.json,"114.00346819421,22.59972490877","114.00847543968534,22.596874049109513"
scene-000961,1638254500.000.json,"113.98390508742,22.59491436412","113.98886304909769,22.592004084733766"
scene-000962,1638254550.000.json,"113.98222377409,22.59366349317","113.98717760632807,22.590748146096196"
scene-000963,1638254570.000.json,"113.98181006103,22.59313334272","113.9867628695454,22.5902167255773"
scene-000964,1638254590.000.json,"113.98104217030,22.59220235013","113.98599308937435,22.589283390353078"
scene-000965,1638254610.000.json,"113.98057649993,22.59163036686","113.98552627747236,22.58870999044664"
scene-000966,1638254630.000.json,"113.97979538593,22.59074569891","113.98474326177855,22.58782296464938"
scene-000967,1638254650.000.json,"113.97882327472,22.58995881267","113.98376881904173,22.58703319991729"
scene-000968,1638254680.000.json,"113.97804962412,22.58953878286","113.98299333850692,22.58661091788081"
scene-000969,1638254710.000.json,"113.97767430196,22.58820006891","113.98261706019709,22.585270970718437"
scene-000970,1638254730.000.json,"113.97732538247,22.58757134733","113.98226729360977,22.584641184237803"
scene-000971,1638254760.000.json,"113.97469236413,22.58759608242","113.97962826709407,22.584658559738823"
scene-000972,1638254860.000.json,"113.96869671131,22.58530570771","113.97361936992445,22.582351683328564"
scene-000973,1638254960.000.json,"113.96082466080,22.58507701767","113.96573157381617,22.582103044984184"
scene-000974,1638255000.000.json,"113.96065494251,22.58503006567","113.96556153403223,22.582055677068468"
scene-000975,1638255040.000.json,"113.95710374851,22.58404084231","113.96200382993231,22.58105795407183"
scene-000976,1638255290.000.json,"113.94929957410,22.58115432383","113.95418686710757,22.578154138935634"
scene-000977,1638255780.000.json,"113.95271098676,22.56071208005","113.95760221671749,22.557716911712344"
scene-000978,1638255800.000.json,"113.95249571452,22.55985421332","113.95738654687875,22.556858503754977"
scene-000979,1638255820.000.json,"113.95131925750,22.55982516970","113.95620824303681,22.556826953424057"
scene-000980,1638255840.000.json,"113.95113057511,22.56072790284","113.95601932682361,22.557729371332645"
scene-000981,1638255860.000.json,"113.95111225566,22.56166782445","113.95600103877365,22.558669340797323"
scene-000982,1638255880.000.json,"113.95109505063,22.56265135967","113.95598386963677,22.559652931459475"
scene-000983,1638255980.000.json,"113.95225786413,22.56330879433","113.95714853835551,22.560312893645055"
scene-000984,1638256020.000.json,"113.95294454229,22.56466690370","113.95783639736126,22.56167261093627"
scene-000985,1638256040.000.json,"113.95279601372,22.56611780568","113.9576877225464,22.563123332963375"
scene-000986,1638256060.000.json,"113.95339803447,22.56668783603","113.95829075026626,22.563694725854617"
scene-000987,1638256120.000.json,"113.94964960983,22.56512372434","113.95453640290566,22.56212253402761"
scene-000988,1638256160.000.json,"113.94520142986,22.56550823265","113.95008204509062,22.562498335722644"
scene-000989,1638256200.000.json,"113.93989709492,22.56579128218","113.94477139497381,22.562771980267975"
scene-000990,1638256250.000.json,"113.93291296264,22.56647650021","113.93778083200147,22.563446590544523"
scene-000991,1638256300.000.json,"113.92667289931,22.56756641097","113.93153693196219,22.564528830109147"
scene-000992,1638256340.000.json,"113.92223675135,22.56598024602","113.92709901996436,22.562938019133483"
scene-000993,1638256420.000.json,"113.91446523830,22.55906120825","113.91932642643738,22.556012597301045"
scene-000994,1638256480.000.json,"113.90894395518,22.55381174583","113.9138061218732,22.550760265520946"
scene-000995,1638256540.000.json,"113.90207425996,22.55026867195","113.90693986687944,22.54721580497462"
scene-000996,1638256590.000.json,"113.89714096611,22.54729696422","113.90201038152793,22.54424436087952"
scene-000997,1638256880.000.json,"113.88524954135,22.52410379919","113.89013159857647,22.521055224138376"
scene-000998,1638256920.000.json,"113.88491056670,22.52375063655","113.88979309215276,22.520702282997547"
scene-000999,1638257110.000.json,"113.88056597589,22.52133208681","113.88545504498906,22.518287052381115"
scene-001000,1638257160.000.json,"113.87643025915,22.51747432849","113.88132613782668,22.514433046250456"
scene-001001,1638257210.000.json,"113.87696345093,22.51270442778","113.88185808257845,22.509662461622085"
scene-001002,1638257250.000.json,"113.87937981279,22.50875692501","113.8842700435526,22.505712555523843"
scene-001003,1638257290.000.json,"113.88196562900,22.50453691954","113.8868513972034,22.50149023363386"
scene-001004,1638257330.000.json,"113.88446131376,22.50046357320","113.88934302507423,22.49741490963552"
scene-001005,1638257370.000.json,"113.88686439684,22.49626384443","113.89174242369073,22.493213521089213"
scene-001006,1638257430.000.json,"113.88833897539,22.49016450806","113.89321463819498,22.487113289424663"
scene-001007,1638257510.000.json,"113.88713408574,22.48249203659","113.89201087464437,22.479441590198174"
scene-001008,1638257580.000.json,"113.88627496312,22.48241019049","113.89115293213838,22.479360290546694"
scene-001009,1638257600.000.json,"113.88575632925,22.48199647280","113.89063500252928,22.47894692141437"
scene-001010,1638257620.000.json,"113.88580362098,22.48196708209","113.89068222534512,22.478917499359603"
scene-001011,1638257640.000.json,"113.88592609387,22.48224134276","113.89080454230553,22.47919167469143"
scene-001012,1638257680.000.json,"113.88508560707,22.48293558452","113.88996530061218,22.47988648075169"
scene-001013,1638257700.000.json,"113.88440930868,22.48340655181","113.88929001958877,22.480357923346507"
scene-001014,1638257720.000.json,"113.88470665550,22.48369999080","113.88958694839837,22.480651145552724"
scene-001015,1638257740.000.json,"113.88580330779,22.48379138541","113.89068202772643,22.48074178106257"
scene-001016,1638257760.000.json,"113.88689244582,22.48412528439","113.89176966804426,22.481074969875188"
scene-001017,1638257780.000.json,"113.88767513679,22.48452670101","113.8925513234548,22.48147590341592"
scene-001018,1638257800.000.json,"113.88801062940,22.48515942410","113.89288640913192,22.482108422680685"
scene-001019,1638257820.000.json,"113.88812859368,22.48616733169","113.89300428101286,22.483116253439718"
scene-001020,1638257860.000.json,"113.88830430646,22.48849950555","113.89317990967821,22.485448312250785"
scene-001021,1638257880.000.json,"113.88778015487,22.48964495815","113.89265652411007,22.486594065697542"
scene-001022,1638257900.000.json,"113.88711411249,22.49060232342","113.89199144039692,22.487551832150274"
scene-001023,1638257920.000.json,"113.88670259776,22.49122124103","113.8915805290075,22.488171006965807"
scene-001024,1638257940.000.json,"113.88750434972,22.49084813424","113.89238116459022,22.48779740415222"
scene-001025,1638257960.000.json,"113.88804993114,22.49054764842","113.89292599883026,22.487496595508066"
scene-001026,1638258000.000.json,"113.88868401506,22.48944683684","113.89355918275923,22.48639542577931"
scene-001027,1638258020.000.json,"113.88985125789,22.48925777827","113.8947249296013,22.486205745745817"
scene-001028,1638258060.000.json,"113.89238775859,22.48691901517","113.89725826072068,22.4838658333092"
scene-001029,1638258160.000.json,"113.89699225336,22.48270868545","113.90185773106319,22.479654118773098"
scene-001030,1638258220.000.json,"113.89847906366,22.48098819448","113.90334310078414,22.47793338301996"
scene-001031,1638258240.000.json,"113.89845251066,22.48039106848","113.90331653306242,22.477336269854053"
scene-001032,1638258260.000.json,"113.89699479186,22.48056768366","113.90186013227478,22.477513145593225"
scene-001033,1638258280.000.json,"113.89593909160,22.48111757241","113.90080547353477,22.47806327365878"
scene-001034,1638258300.000.json,"113.89526622588,22.48192809460","113.90013332693516,22.47887396706946"
scene-001035,1638258320.000.json,"113.89466109299,22.48220577282","113.89952882972577,22.479151822031028"
scene-001036,1638258340.000.json,"113.89439363515,22.48202331986","113.89926163883563,22.478969456069972"
scene-001037,1638258380.000.json,"113.89519669431,22.48195064203","113.9000638669809,22.478896534140254"
scene-001038,1638258400.000.json,"113.89560935901,22.48119646481","113.90047607073174,22.478142251912626"
scene-001039,1638258450.000.json,"113.89271218764,22.48117274202","113.89758196119648,22.478119490479482"
scene-001040,1638258500.000.json,"113.89129701272,22.48114835191","113.89616841614243,22.478095697127916"
scene-001041,1638258580.000.json,"113.88863760691,22.48135151878","113.89351232409211,22.478300203127244"
scene-001042,1638258620.000.json,"113.88800321102,22.48068195118","113.89287871810551,22.477631007401538"
scene-001043,1638258640.000.json,"113.88810172362,22.48071605514","113.89297710251972,22.47766505355807"
scene-001044,1638258690.000.json,"113.88874503345,22.48193713407","113.89361964835102,22.47888575070313"
scene-001045,1638258870.000.json,"113.88764473057,22.48325387134","113.89252087766084,22.48020310540907"
scene-001046,1638258890.000.json,"113.88834344542,22.48459842346","113.89321875116752,22.48154723533334"
scene-001047,1638258910.000.json,"113.88887900902,22.48640288108","113.8937537326975,22.483351378149614"
scene-001048,1638258930.000.json,"113.88888194375,22.48838331561","113.89375678859632,22.485331799340013"
scene-001049,1638258950.000.json,"113.88856983202,22.49024347892","113.89344519828502,22.48719212954593"
scene-001050,1638258970.000.json,"113.88826580048,22.49209402771","113.89314168109443,22.489042849117638"
scene-001051,1638258990.000.json,"113.88796380723,22.49394916986","113.89284020371264,22.490898169132752"
scene-001052,1638259010.000.json,"113.88716624373,22.49604665366","113.8920438443071,22.492996141118855"
scene-001053,1638259030.000.json,"113.88602096653,22.49816080733","113.89090028608184,22.495111041758243"
scene-001054,1638259050.000.json,"113.88469881483,22.50033563065","113.88958016956482,22.49728679526464"
scene-001055,1638259070.000.json,"113.88407204041,22.50136075572","113.88895438455636,22.49831238693808"
scene-001056,1638259090.000.json,"113.88322421984,22.50274685153","113.88810792760155,22.499699139941285"
scene-001057,1638259190.000.json,"113.87725436690,22.51251436661","113.88214847522406,22.509472106964935"
scene-001058,1638259230.000.json,"113.87608512967,22.51631306258","113.8809815521932,22.51327209356736"
scene-001059,1638259330.000.json,"113.88309162214,22.52227824980","113.88797676655982,22.519231179805015"
scene-001060,1638259360.000.json,"113.88437220333,22.52253405340","113.88925544061698,22.51948603392352"
scene-001061,1638259380.000.json,"113.88499907329,22.52180762111","113.88988134738678,22.518759125153142"
scene-001062,1638259410.000.json,"113.88599837865,22.52082221045","113.89087916152918,22.517772994376227"
scene-001063,1638259430.000.json,"113.88658545386,22.52065228157","113.89146540576621,22.517602676765584"
scene-001064,1638259490.000.json,"113.88879929914,22.52259275935","113.8936764103982,22.519541912675564"
scene-001065,1638259540.000.json,"113.88977841563,22.52366169346","113.89465435015735,22.520610370441098"
scene-001066,1638259570.000.json,"113.89152178652,22.52582229014","113.89639574430234,22.522770230519715"
scene-001067,1638259630.000.json,"113.89194797879,22.52650002451","113.8968214828803,22.52344781156807"
scene-001068,1638259760.000.json,"113.89287833723,22.52963962220","113.89775098347235,22.52658718452819"
scene-001069,1638259800.000.json,"113.89287717581,22.53108007941","113.89774991433136,22.528027716126587"
scene-001070,1638259840.000.json,"113.89283531195,22.53329519003","113.89770823710369,22.53024296197537"
scene-001071,1638259860.000.json,"113.89289896112,22.53441477476","113.89777188601543,22.531362584798757"
scene-001072,1638259880.000.json,"113.89313313767,22.53488605953","113.89800583271303,22.53183380755284"
scene-001073,1638259920.000.json,"113.89437266112,22.53498385338","113.8992440286463,22.531931174644562"
scene-001074,1638259970.000.json,"113.89640712998,22.53498889726","113.90127645789296,22.53193564924203"
scene-001075,1638260010.000.json,"113.89640756658,22.53498878312","113.90127689406802,22.53193553499207"
scene-001076,1638260060.000.json,"113.89734849045,22.53500358076","113.90221693873687,22.53195012953367"
scene-001077,1638260210.000.json,"113.90174175661,22.53506766986","113.90660663755416,22.53201377527405"
scene-001078,1638260680.000.json,"113.91124379278,22.53526832263","113.91610406509555,22.53221638448419"
scene-001079,1638260730.000.json,"113.91401113073,22.53549213452","113.91887088333989,22.53244153724938"
scene-001080,1638260760.000.json,"113.91445936086,22.53693013381","113.91931915246171,22.53387986912431"
scene-001081,1638260940.000.json,"113.91506772834,22.54062469670","113.91992769835653,22.537575013422536"
scene-001082,1638261280.000.json,"113.92835793314,22.54257892200","113.9332212628818,22.539541179605354"
scene-001083,1638261380.000.json,"113.94129381436,22.54278404758","113.94616821066808,22.539765215646835"
scene-001084,1638261640.000.json,"113.95386781814,22.54327175714","113.95875981581464,22.540277714146207"
