scene,latlng,latlng_cn
scene-000259,1632797610.000.json,"113.94955249877,22.57513289150","113.95443978265466,22.5721325376612"
scene-000260,1632797630.000.json,"113.94929221305,22.57557198949","113.95417914124137,22.572571153109344"
scene-000261,1632797650.000.json,"113.94818067850,22.57602411817","113.95306602729089,22.573021092507165"
scene-000262,1632797670.000.json,"113.94737222265,22.57660462820","113.95225646927204,22.573600067107012"
scene-000263,1632797690.000.json,"113.94721021481,22.57675211189","113.95209424567106,22.573747249577373"
scene-000264,1632797760.000.json,"113.94875817311,22.57868735624","113.95364452018589,22.57568578859115"
scene-000265,1632797820.000.json,"113.94927538495,22.57569079334","113.95416229596867,22.572689935849226"
scene-000266,1632797860.000.json,"113.94777597252,22.57626492669","113.95266076317353,22.573261123769104"
scene-000267,1632797880.000.json,"113.94721152265,22.57674257445","113.95209555471953,22.573737713630578"
scene-000268,1632797900.000.json,"113.94724150729,22.57709139811","113.9521256030571,22.574086635147815"
scene-000269,1632797920.000.json,"113.94632542636,22.57770304307","113.95120830666394,22.574696570006303"
scene-000270,1632797940.000.json,"113.94648356559,22.57816583209","113.95136668932639,22.575159716397586"
scene-000271,1632797960.000.json,"113.94667218747,22.57836425133","113.95155558047355,22.575358523093584"
scene-000272,1632797980.000.json,"113.94699145793,22.57872072376","113.95187531128153,22.575715656878952"
scene-000273,1632798000.000.json,"113.94702798820,22.57873697938","113.95191189292981,22.57573198561525"
scene-000274,1632798060.000.json,"113.94749878384,22.57926171918","113.95238337549148,22.57625770847137"
scene-000275,1632798160.000.json,"113.94880193043,22.58067506825","113.95368846693383,22.577673818828277"
scene-000276,1632798200.000.json,"113.94920133962,22.58041080213","113.9540884413735,22.57741033039622"
scene-000277,1632798240.000.json,"113.94854780391,22.57849798103","113.95343383531213,22.575495968552637"
scene-000278,1632798320.000.json,"113.94618205210,22.57772608205","113.95106474062871,22.57471933601755"
scene-000279,1632798360.000.json,"113.94419814094,22.57814748762","113.94907826844185,22.57513705673971"
scene-000280,1632798420.000.json,"113.94378236572,22.57832169436","113.94866198249825,22.575310520278656"
scene-000281,1632798480.000.json,"113.94341115839,22.57997728744","113.94829042030635,22.576965628241506"
scene-000282,1632798580.000.json,"113.94324167088,22.58588406969","113.94812109905565,22.58287281182606"
scene-000283,1632798680.000.json,"113.94276706342,22.58871045064","113.94764609461657,22.58569869455227"
scene-000284,1632798740.000.json,"113.94108883806,22.58909706585","113.9459659330325,22.58608241521642"
scene-000285,1632798760.000.json,"113.94102578521,22.58912727140","113.94590281076728,22.586112516208445"
scene-000286,1632798780.000.json,"113.94101070688,22.58942875401","113.94588773450566,22.586414011487335"
scene-000287,1632798800.000.json,"113.94107680332,22.58992715134","113.9459539372565,22.586912586448733"
scene-000288,1632798860.000.json,"113.94155220761,22.59146290331","113.94642998189305,22.5884493599862"
scene-000289,1632798920.000.json,"113.94202448913,22.59249526998","113.94690287784799,22.589482688115346"
scene-000290,1632798950.000.json,"113.94360641186,22.59119130796","113.94848662553842,22.58818138544545"
scene-000291,1632798970.000.json,"113.94476212466,22.59020784268","113.9496437357405,22.587199922234884"
scene-000292,1632798990.000.json,"113.94541841562,22.58924510052","113.95030081914248,22.586238288675556"
scene-000293,1632799040.000.json,"113.94596253313,22.58741036015","113.95084554128336,22.58440434996763"
scene-000294,1632799060.000.json,"113.94666775026,22.58718260863","113.95155169626132,22.58417792700128"
scene-000295,1632799080.000.json,"113.94801880865,22.58722571766","113.95290463759649,22.584223693614994"
scene-000296,1632799100.000.json,"113.94943304107,22.58686324311","113.95432089258138,22.583864022333795"
scene-000297,1632799180.000.json,"113.94972664880,22.58502541633","113.95461481819441,22.582026568760366"
